methods pbe pbe-d3 camb3lyp-d3 b3lyp/gtbas1 hf/gtbas1 hf/gtbas2 hf/gtbas3 hf/gtlargexp hf/gfhfb1 hf/gfhfb2 mp2/gtbas1 mp2/gtbas2 mp2/gtbas3 mp2/gtlargexp mp4/gtbas1 mp4/gtbas2 mp4/gtbas3 ccsd(t)/gtbas1 g4(0k) zpe camb3lyp wb97xd
f4_CH4O2S_001 -588.834075379 -588.839742273 -589.150964718 -589.118301868 -587.336109419 -587.343299691 -587.396891592 -587.495910683 -587.510859874 -587.524867422 -0.58796630361615E03 -0.58798439739492E03 -0.58818846615871E03 -0.58878762738853E03 -0.58801189465E03 -0.58803165765E03 -0.58824958509E03 -0.58800736922E03 -588.912780 0.055791 -589.146805543 -589.143984033
f4_CH4O2S_002 -588.843718928 -588.849161189 -589.161145114 -589.133136340 -587.358209241 -587.367193354 -587.407127715 -587.500122683 -587.521386486 -587.530884309 -0.58798663679200E03 -0.58800744249884E03 -0.58819654116367E03 -0.58878956011774E03 -0.58803532735E03 -0.58805769375E03 -0.58826068821E03 -0.58803234891E03 -588.920808 0.054869 -589.157133888 -589.152211959
f4_CH4O3_000 -266.007631358 -266.011409159 -266.206297752 -266.198203787 -264.767990965 -264.779177544 -264.808202191 -264.890651938 -264.913272101 -264.918365764 -0.26543376681789E03 -0.26545928784189E03 -0.26563951124817E03 -0.26597011025749E03 -0.26547163210E03 -0.26549892474E03 -0.26569031839E03 -0.26547068953E03 -266.080317 0.060695 -266.203787087 -266.209332780
f4_CH5N3_000 -205.208839277 -205.214292334 -205.364603444 -205.381813193 -204.112229788 -204.123236730 -204.146802295 -204.206196319 -204.222053125 -204.225579889 -0.20472117603948E03 -0.20474305198651E03 -0.20488565619837E03 -0.20517320246939E03 -0.20476906853E03 -0.20479145963E03 -0.20494315676E03 -0.20476851094E03 -205.261860 0.072408 -205.360842860 -205.384601917
f4_CHClO_000 -573.873870543 -573.875944710 -574.151547069 -574.129764407 -572.780212139 -572.784910924 -572.797725215 -572.858467174 -572.877331890 -572.880190959 -0.57321524069244E03 -0.57322545391186E03 -0.57334146046298E03 -0.57384536159976E03 -0.57325135917E03 -0.57326222959E03 -0.57339078754E03 -0.57324796451E03 -573.958063 0.018832 -574.149991424 -574.138554443
f4_CHNO_000 -168.569540839 -168.571074412 -168.682707664 -168.695454019 -167.759988141 -167.765175736 -167.782124553 -167.828789018 -167.841969858 -167.844571028 -0.16822016761761E03 -0.16823068008032E03 -0.16833018338852E03 -0.16854652031690E03 -0.16824865167E03 -0.16825954703E03 -0.16836512727E03 -0.16824165580E03 -168.625691 0.021152 -168.681644335 -168.688414376
f4_H2N2O2_000 -260.888788677 -260.891629447 -261.050890886 -261.053779521 -259.632152731 -259.642622195 -259.665514029 -259.741006038 -259.764042476 -259.768604592 -0.26033421454220E03 -0.26035605569177E03 -0.26051109500609E03 -0.26082881966596E03 -0.26036994859E03 -0.26039328920E03 -0.26055882285E03 -0.26036144982E03 -260.943848 0.037774 -261.049000143 -261.052886062
f4_H2O3P_000 -568.106527209 -568.110362216 -568.444799105 -568.374978042 -566.565758829 -566.588837093 -566.614951611 -566.736869092 -566.759222034 -566.770417982 -0.56722145644649E03 -0.56726589678423E03 -0.56743648475026E03 -0.56807040910072E03 -0.56725137177E03 -0.56729818308E03 -0.56748284321E03 -0.56724788728E03 -568.210872 0.031370 -568.441952164 -568.416410171
f4_H2O3S_000 -624.753985718 -624.757797257 -625.088424266 -625.035099857 -623.159437473 -623.168271894 -623.232255010 -623.346583875 -623.365435364 -623.381338327 -0.62384099455682E03 -0.62386260905119E03 -0.62408216110177E03 -0.62470752905756E03 -0.62387399001E03 -0.62389772471E03 -0.62413134653E03 -0.62386855298E03 -624.849521 0.032817 -625.085651822 -625.066980055
f4_H3O3P_000 -568.637310679 -568.641753004 -568.977722244 -568.932435223 -567.115814037 -567.126380571 -567.176509271 -567.283841479 -567.307247835 -567.318340465 -0.56776358530570E03 -0.56778705044745E03 -0.56798888435881E03 -0.56860076313753E03 -0.56779618363E03 -0.56782154943E03 -0.56803719657E03 -0.56779367735E03 -568.733629 0.042354 -568.974435234 -568.954837192
f4_HNO2_000 -205.590206766 -205.591455761 -205.716510400 -205.715352667 -204.632863502 -204.640833310 -204.657553612 -204.718937650 -204.737731887 -204.741366071 -0.20516403758814E03 -0.20518155175750E03 -0.20529725968508E03 -0.20554287872439E03 -0.20519439144E03 -0.20521294787E03 -0.20533624131E03 -0.20518939353E03 -205.643618 0.020124 -205.715683726 -205.714265398
f4_HNO2_001 -205.584206031 -205.585485777 -205.705949841 -205.705853461 -204.613934812 -204.623374934 -204.637769543 -204.699529257 -204.717973044 -204.721579279 -0.20515976829433E03 -0.20517830816469E03 -0.20529299225921E03 -0.20553918176705E03 -0.20518498303E03 -0.20520470246E03 -0.20532738573E03 -0.20517719279E03 -205.630773 0.021643 -205.705116981 -205.704943517
f5_C2H2N2O_000 -261.860547751 -261.865395881 -262.030557129 -262.063609035 -260.543034146 -260.550090081 -260.567781744 -260.633401568 -260.654407163 -260.658430705 -0.26131562574789E03 -0.26133139716112E03 -0.26147812268591E03 -0.26181833601673E03 -0.26136689011E03 -0.26138365998E03 -0.26153928180E03 -0.26135914953E03 -261.943871 0.045203 -262.027127395 -262.044760344
f5_C2H3Cl3_000 -1458.02155751 -1458.03067990 -1458.68940038 -1458.61523336 -1455.90864102 -1455.91087681 -1455.93329806 -1456.03396132 -1456.06857014 -1456.07301951 -0.14565700748725E04 -0.14565811767924E04 -0.14567939382795E04 -0.14579882186295E04 -0.14566437822E04 -0.14566559472E04 -0.14568962729E04 -0.14566424134E04 -1458.195098 0.046444 -1458.68177930 -1458.65392701
f5_C2H3ClO2_000 -688.342427848 -688.348187077 -688.711621957 -688.692499197 -686.700116584 -686.707058269 -686.731722928 -686.822737363 -686.850748613 -686.855698713 -0.68743804636004E03 -0.68745556043522E03 -0.68765187535863E03 -0.68830223844227E03 -0.68749450644E03 -0.68751348138E03 -0.68772692756E03 -0.68749056927E03 -688.460826 0.052361 -688.707282252 -688.704175138
f5_C2H4N2O_000 -263.140233153 -263.146134063 -263.333574947 -263.359136225 -261.822331066 -261.831812920 -261.852813424 -261.923944923 -261.944001410 -261.948122084 -0.26256606425506E03 -0.26258637098696E03 -0.26274929881060E03 -0.26310042803454E03 -0.26262273465E03 -0.26264396213E03 -0.26281748173E03 -0.26261973593E03 -263.222373 0.066599 -263.329350790 -263.350813650
f5_C2H4N2O_001 -263.066514930 -263.072623172 -263.247396070 -263.282143901 -261.727618935 -261.734253641 -261.754486060 -261.820505441 -261.841633127 -261.845828933 -0.26249209315093E03 -0.26250839524098E03 -0.26267120056613E03 -0.26301474116978E03 -0.26255319530E03 -0.26257077702E03 -0.26274375196E03 -0.26254966441E03 -263.141291 0.067354 -263.243140425 -263.266941360
f5_C2H4N2S_000 -585.959178999 -585.966964947 -586.276689138 -586.285129438 -584.422080725 -584.429062604 -584.455327008 -584.529750578 -584.550567223 -584.555021711 -0.58511616820765E03 -0.58513298094810E03 -0.58529931529243E03 -0.58590819179536E03 -0.58518441113E03 -0.58520191939E03 -0.58538112193E03 -0.58518377357E03 -586.052974 0.060697 -586.270615130 -586.282203843
f5_C2H4NO2_000 -283.673551872 -283.679377410 -283.882443792 -283.873841576 -282.250924774 -282.276240032 -282.278641157 -282.374480192 -282.396337128 -282.400962828 -0.28303170343077E03 -0.28307810401650E03 -0.28323660131170E03 -0.28362912200436E03 -0.28308502539E03 -0.28313322397E03 -0.28330371359E03 -0.28308020312E03 -283.759404 0.065621 -283.878360225 -283.893583361
f5_C2H4O2S_000 -626.872221643 -626.879739147 -627.216814750 -627.194544581 -625.175416436 -625.183994123 -625.238968609 -625.345542087 -625.363339063 -625.377852890 -0.62592443080911E03 -0.62594513949930E03 -0.62616724613793E03 -0.62682301929916E03 -0.62598223052E03 -0.62600453379E03 -0.62624103871E03 -0.62597800782E03 -626.973112 0.061124 -627.211064060 -627.213512810
f5_C2H4O3_000 -304.089974735 -304.095305070 -304.313475053 -304.320018646 -302.654460317 -302.665174086 -302.693923560 -302.782119062 -302.807136787 -302.812524153 -0.30343966095176E03 -0.30346364945947E03 -0.30366158572117E03 -0.30404564951504E03 -0.30348965449E03 -0.30351532634E03 -0.30372562409E03 -0.30348576911E03 -304.177352 0.066057 -304.309750062 -304.322032884
f5_C2H4O3_001 -304.095780455 -304.100793838 -304.320956062 -304.331405399 -302.671280262 -302.679619905 -302.707377930 -302.793179512 -302.817841388 -302.823160898 -0.30345320939346E03 -0.30347364593932E03 -0.30367256976987E03 -0.30405255958320E03 -0.30350317187E03 -0.30352549055E03 -0.30373695821E03 -0.30349894993E03 -304.183511 0.066580 -304.317424508 -304.329026489
f5_C2H4S3_000 -1272.64977197 -1272.66046984 -1273.24608706 -1273.20371820 -1270.57565183 -1270.57816894 -1270.61057744 -1270.70596983 -1270.73267297 -1270.73867480 -0.12712079815783E04 -0.12712177454735E04 -0.12714240998415E04 -0.12725779546836E04 -0.12712890665E04 -0.12712997648E04 -0.12715269199E04 -0.12712867933E04 -1272.763582 0.054226 -1273.23677966 -1273.21965056
f5_C2H5N3_000 -243.247929911 -243.255051061 -243.428900351 -243.463177828 -241.958414464 -241.968193625 -241.991441891 -242.055480196 -242.073755854 -242.077538413 -0.24269158262220E03 -0.24271291608867E03 -0.24286952923347E03 -0.24320877166577E03 -0.24275315010E03 -0.24277513490E03 -0.24294147863E03 -0.24275243166E03 -243.322218 0.078674 -243.423768743 -243.453524195
f5_C2H5NO2_000 -284.231923263 -284.237828271 -284.446635745 -284.464274846 -282.843685250 -282.852907223 -282.877598166 -282.956916475 -282.979374966 -282.984207095 -0.28361018896524E03 -0.28363154697596E03 -0.28382017249560E03 -0.28418879293786E03 -0.28366511031E03 -0.28368806775E03 -0.28388900119E03 -0.28366155132E03 -284.310875 0.077461 -284.442455855 -284.461369096
f5_C2H5NO2_001 -284.222838508 -284.229113199 -284.435144870 -284.451091591 -282.825278032 -282.835624512 -282.863287942 -282.943210932 -282.965993402 -282.970898011 -0.28359647065305E03 -0.28361976285625E03 -0.28381021903973E03 -0.28418000231256E03 -0.28365184828E03 -0.28367658174E03 -0.28387877116E03 -0.28364868084E03 -284.301460 0.078455 -284.430739323 -284.451636899
f5_C2H5NO2_002 -284.128457683 -284.134774543 -284.322839679 -284.350584709 -282.697303076 -282.706757892 -282.729582069 -282.805730631 -282.829702341 -282.834592606 -0.28350061586073E03 -0.28352149937216E03 -0.28370708062132E03 -0.28407182125541E03 -0.28355835503E03 -0.28358095656E03 -0.28377896180E03 -0.28355059796E03 -284.194509 0.077413 -284.318416155 -284.342074295
f5_C2H6N2O_000 -264.366635336 -264.374003140 -264.568675969 -264.594216321 -263.009341044 -263.018972813 -263.043799080 -263.115688986 -263.136254950 -263.140648109 -0.26376314913605E03 -0.26378527476614E03 -0.26396689335501E03 -0.26432351642150E03 -0.26382275310E03 -0.26384614712E03 -0.26403941877E03 -0.26382014127E03 -264.434638 0.090295 -264.563472380 -264.592451288
f5_C2H6N2O_001 -264.300459024 -264.307668875 -264.496902112 -264.524106436 -262.924414278 -262.935071219 -262.960678377 -263.032667842 -263.054340903 -263.058839593 -0.26368987486158E03 -0.26371386424099E03 -0.26389314218073E03 -0.26425086689401E03 -0.26375222478E03 -0.26377741138E03 -0.26396800031E03 -0.26375151814E03 -264.368683 0.089005 -264.491777495 -264.519678758
f5_C2H6N2O_002 -264.266907795 -264.274198536 -264.455097393 -264.493069165 -262.887560429 -262.894888673 -262.916270375 -262.983415564 -263.004782795 -263.009145953 -0.26366302031590E03 -0.26368046895046E03 -0.26385917259587E03 -0.26420878224259E03 -0.26372893115E03 -0.26374774744E03 -0.26393796956E03 -0.26372437779E03 -264.327518 0.087874 -264.449929340 -264.479774144
f5_C2H6N2O_003 -264.261651174 -264.268767085 -264.459299102 -264.487199581 -262.886865323 -262.897768069 -262.923488105 -262.996332053 -263.017614354 -263.022112995 -0.26364659556883E03 -0.26367041084909E03 -0.26385269945866E03 -0.26420933138906E03 -0.26370988720E03 -0.26373492842E03 -0.26392821478E03 -0.26370999913E03 -264.328042 0.089225 -264.454193935 -264.481113077
f5_C2H6N2O_004 -264.358977069 -264.366419622 -264.560267496 -264.584044853 -262.997101957 -263.008239807 -263.032389100 -263.105533105 -263.126155516 -263.130553221 -0.26375399523079E03 -0.26377802822354E03 -0.26395834992829E03 -0.26431627050874E03 -0.26381413006E03 -0.26383925953E03 -0.26403119181E03 -0.26381170688E03 -264.427400 0.090683 -264.555007234 -264.584284487
f5_C2H6N2S_000 -587.212149021 -587.221153246 -587.539821754 -587.551278992 -585.644670340 -585.650726539 -585.679395166 -585.751349446 -585.773083811 -585.777465013 -0.58634452664709E03 -0.58636077243778E03 -0.58654821436621E03 -0.58715937147411E03 -0.58641352920E03 -0.58643085359E03 -0.58663286840E03 -0.58641274700E03 -587.287732 0.087978 -587.533005595 -587.551877741
f5_C2H6N2S_001 -587.200544698 -587.209791203 -587.524825528 -587.533434970 -585.621618287 -585.629177048 -585.658152123 -585.733555198 -585.755159503 -585.759903904 -0.58632932987090E03 -0.58634721022373E03 -0.58653282668305E03 -0.58714667390621E03 -0.58639968146E03 -0.58641830971E03 -0.58661829103E03 -0.58639914984E03 -587.277985 0.086080 -587.517762841 -587.536720746
f5_C2H6N2S_002 -587.191130012 -587.200295915 -587.515690816 -587.525911936 -585.612277029 -585.619261751 -585.648455922 -585.723003763 -585.744467325 -585.749057542 -0.58632007827490E03 -0.58633762308502E03 -0.58652271064905E03 -0.58713591840650E03 -0.58639105786E03 -0.58640946164E03 -0.58660883025E03 -0.58639030436E03 -587.269447 0.084073 -587.508667204 -587.526998512
f5_C2H6O2S_000 -628.107839117 -628.116127209 -628.468671623 -628.460660611 -626.429930537 -626.437947840 -626.469252519 -626.560597806 -626.586392392 -626.592108907 -0.62717010888925E03 -0.62719129023942E03 -0.62740610179265E03 -0.62805010174419E03 -0.62723694893E03 -0.62725996808E03 -0.62749125314E03 -0.62723678088E03 -628.198282 0.082697 -628.462383532 -628.469329453
f5_C2H6O2S_001 -628.125617559 -628.133821952 -628.483103751 -628.474049799 -626.441133478 -626.450004544 -626.483050226 -626.574942144 -626.601276909 -626.607106430 -0.62718464006768E03 -0.62720671433269E03 -0.62742324538021E03 -0.62806846851894E03 -0.62724949038E03 -0.62727328090E03 -0.62750624046E03 -0.62724948177E03 -628.213761 0.084147 -628.476904263 -628.485266107
f5_C2H6O2S_002 -628.131178955 -628.139817981 -628.490615082 -628.479607978 -626.445706279 -626.454711529 -626.489273001 -626.581192980 -626.607372140 -626.613063216 -0.62719112066902E03 -0.62721360282139E03 -0.62743046425415E03 -0.62807622762727E03 -0.62725641157E03 -0.62728070918E03 -0.62751377854E03 -0.62725613391E03 -628.223709 0.081780 -628.484116553 -628.492386131
f5_C2H6O2S_003 -628.118533288 -628.127653290 -628.471802089 -628.451345983 -626.390427899 -626.397555393 -626.452947946 -626.559359535 -626.577150649 -626.591649554 -0.62715288998969E03 -0.62717261745897E03 -0.62740993625313E03 -0.62806934178969E03 -0.62721430885E03 -0.62723598041E03 -0.62748936070E03 -0.62720948191E03 -628.209252 0.083606 -628.464956501 -628.475030023
f5_C2H6O2S_004 -628.113834958 -628.122378868 -628.466508604 -628.451900092 -626.394407496 -626.403435673 -626.447687585 -626.547561728 -626.571946733 -626.582003184 -0.62715502267365E03 -0.62717717940884E03 -0.62740178222940E03 -0.62805411910908E03 -0.62721951757E03 -0.62724351555E03 -0.62748390746E03 -0.62721671137E03 -628.200210 0.083113 -628.460093421 -628.468160792
f5_C2H6O2S_005 -628.103996060 -628.112962321 -628.456474343 -628.437101000 -626.372827819 -626.380000548 -626.437875158 -626.543586406 -626.561727477 -626.576214787 -0.62713467347593E03 -0.62715402113907E03 -0.62739392246328E03 -0.62805205452367E03 -0.62719610867E03 -0.62721738799E03 -0.62747309886E03 -0.62719180626E03 -628.192064 0.084106 -628.449744263 -628.460119243
f5_C2H6O3_000 -305.261568958 -305.267806980 -305.497097825 -305.505189798 -303.795664081 -303.806639309 -303.836429786 -303.925894193 -303.951092574 -303.956749917 -0.30458910947449E03 -0.30461535275326E03 -0.30482781719783E03 -0.30521657028380E03 -0.30464428579E03 -0.30467267071E03 -0.30489860742E03 -0.30464334111E03 -305.343804 0.088140 -305.492737779 -305.508919387
f5_C2H6O3_001 -305.264661654 -305.271344414 -305.499056449 -305.503522172 -303.790302071 -303.802937253 -303.834200779 -303.925208329 -303.950766055 -303.956445813 -0.30458714124869E03 -0.30461607977573E03 -0.30482860384496E03 -0.30522059587631E03 -0.30464152726E03 -0.30467244180E03 -0.30489828392E03 -0.30464097001E03 -305.346493 0.088975 -305.494440344 -305.512084893
f5_C2H6O3_002 -305.284293890 -305.291020638 -305.519895053 -305.524042807 -303.812879323 -303.824619405 -303.857119412 -303.946886123 -303.972280054 -303.977970500 -0.30461122950369E03 -0.30463861511461E03 -0.30485297143443E03 -0.30524309264677E03 -0.30466509499E03 -0.30469455213E03 -0.30492222118E03 -0.30466420446E03 -305.370281 0.086865 -305.515229905 -305.532859327
f5_C2H7N3_000 -244.472953103 -244.481304132 -244.662242806 -244.697386855 -243.144668221 -243.154180058 -243.181089444 -243.245279059 -243.263991879 -243.268014602 -0.24388862318018E03 -0.24391068565050E03 -0.24408686480544E03 -0.24443054300502E03 -0.24395328301E03 -0.24397631438E03 -0.24416334823E03 -0.24395289482E03 -244.533519 0.102009 -244.656316479 -244.692900574
f5_C2H7N3_001 -244.472417411 -244.480772841 -244.662909663 -244.697691251 -243.146299048 -243.155985170 -243.183065733 -243.247517899 -243.266217192 -243.270270374 -0.24388829881506E03 -0.24391020466678E03 -0.24408703918781E03 -0.24443083502213E03 -0.24395329953E03 -0.24397614067E03 -0.24416376831E03 -0.24395305075E03 -244.533700 0.102495 -244.656982451 -244.693583402
f5_C2H7NO2_000 -285.396448136 -285.404430777 -285.619505487 -285.634564661 -283.958496453 -283.970322002 -284.001104735 -284.083182406 -284.106342540 -284.111551797 -0.28474346807666E03 -0.28477058548566E03 -0.28497702988115E03 -0.28535373043551E03 -0.28480317808E03 -0.28483193148E03 -0.28505119895E03 -0.28480333163E03 -285.468630 0.101850 -285.613969156 -285.640462244
f5_C2H7NO2_001 -285.412931000 -285.420848712 -285.636895369 -285.650402485 -283.977211302 -283.988726070 -284.019918037 -284.101703015 -284.124894519 -284.130110196 -0.28476285149411E03 -0.28478961791035E03 -0.28499610066184E03 -0.28537264910688E03 -0.28482221869E03 -0.28485080126E03 -0.28506999104E03 -0.28482200819E03 -285.489328 0.099647 -285.631384003 -285.657824365
f5_C2H9N3_000 -245.649063895 -245.658304574 -245.848264301 -245.884615319 -244.288374767 -244.299200864 -244.327350323 -244.392925411 -244.411868194 -244.416136369 -0.24504049648106E03 -0.24506482180715E03 -0.24525661603485E03 -0.24560528420876E03 -0.24511153681E03 -0.24513704423E03 -0.24534046101E03 -0.24511320439E03 -245.701199 0.126183 -245.841820672 -245.885506400
f5_C3H10N2_000 -229.614245356 -229.625506895 -229.808328948 -229.855392192 -228.303793825 -228.311515595 -228.339818993 -228.396249834 -228.414230312 -228.418228820 -0.22902907651112E03 -0.22904820024233E03 -0.22924204046030E03 -0.22957558420060E03 -0.22910460906E03 -0.22912470698E03 -0.22933017093E03 -0.22910658139E03 -229.664093 0.136674 -229.800312929 -229.853671536
f5_C3H10N2_001 -229.576212802 -229.586883467 -229.768771836 -229.820466260 -228.267822087 -228.273963072 -228.300174873 -228.354871356 -228.372748011 -228.376678315 -0.22899254097333E03 -0.22900920539076E03 -0.22920094044258E03 -0.22953217645519E03 -0.22906983489E03 -0.22908773996E03 -0.22929109587E03 -0.22907169675E03 -229.624124 0.135227 -229.761196321 -229.812378772
f5_C3H10N2_002 -229.598729529 -229.609654524 -229.792716478 -229.843349994 -228.292303888 -228.298976372 -228.325005866 -228.380497306 -228.398147490 -228.402104324 -0.22901605749773E03 -0.22903374730345E03 -0.22922551253376E03 -0.22955764312625E03 -0.22909204735E03 -0.22911097546E03 -0.22931446367E03 -0.22909378233E03 -229.647403 0.135887 -229.784954440 -229.836557685
f5_C3H2O2_000 -265.706445297 -265.710637228 -265.895635878 -265.920177578 -264.427997201 -264.437328305 -264.458968184 -264.530302732 -264.551583937 -264.555798382 -0.26515307671168E03 -0.26517161187392E03 -0.26532971250762E03 -0.26567786869876E03 -0.26520139621E03 -0.26522100476E03 -0.26538838530E03 -0.26519582302E03 -265.806170 0.042705 -265.892502128 -265.906529930
f5_C3H3NO_000 -245.865067666 -245.870400349 -246.044496225 -246.081891108 -244.639747623 -244.646148884 -244.663283695 -244.724581270 -244.743223715 -244.746843123 -0.24535065875566E03 -0.24536514501633E03 -0.24550997200054E03 -0.24584118848247E03 -0.24540626996E03 -0.24542160862E03 -0.24557566661E03 -0.24540008052E03 -245.961304 0.053697 -246.040553423 -246.063816712
f5_C3H3NO_001 -245.843009491 -245.848624584 -246.013946741 -246.052077496 -244.585861780 -244.592974868 -244.609960972 -244.671245943 -244.690682975 -244.694504472 -0.24531274242307E03 -0.24532779094750E03 -0.24547557743584E03 -0.24580659381871E03 -0.24536716667E03 -0.24538299541E03 -0.24553939188E03 -0.24536216444E03 -245.923523 0.057164 -246.009916589 -246.033906562
f5_C3H4Cl2_000 -1036.64165413 -1036.64954550 -1037.13882060 -1037.11262030 -1034.87051991 -1034.87418727 -1034.89352493 -1034.97475057 -1035.00304348 -1035.00699172 -0.10355128368892E04 -0.10355234480309E04 -0.10357105883781E04 -0.10366051211744E04 -0.10355860675E04 -0.10355973521E04 -0.10358053668E04 -0.10355870678E04 -1036.777377 0.061605 -1037.13256145 -1037.12859124
f5_C3H4Cl2_001 -1036.64465350 -1036.65315039 -1037.14115307 -1037.11427967 -1034.86884643 -1034.87167893 -1034.89197728 -1034.97229382 -1035.00038409 -1035.00445387 -0.10355165600569E04 -0.10355261481965E04 -0.10357150041308E04 -0.10366094188804E04 -0.10355894449E04 -0.10355997044E04 -0.10358091212E04 -0.10355899048E04 -1036.781462 0.060562 -1037.13429972 -1037.13090019
f5_C3H4Cl2_002 -1036.64105752 -1036.64963126 -1037.13939138 -1037.11178701 -1034.86913669 -1034.87292958 -1034.89238017 -1034.97371275 -1035.00192872 -1035.00585388 -0.10355134671997E04 -0.10355245372022E04 -0.10357121309625E04 -0.10366072766583E04 -0.10355865639E04 -0.10355982886E04 -0.10358066990E04 -0.10355873961E04 -1036.779196 0.061438 -1037.13243945 -1037.12870697
f5_C3H4N2_000 -225.990647979 -225.997125848 -226.159298578 -226.201684862 -224.788882420 -224.797369463 -224.817003483 -224.873588628 -224.890771685 -224.894090461 -0.22548497985727E03 -0.22550159643549E03 -0.22564367504797E03 -0.22596637064176E03 -0.22554358936E03 -0.22556051363E03 -0.22571109900E03 -0.22554058717E03 -226.076885 0.065837 -226.154492348 -226.184574730
f5_C3H4O2_000 -266.952169833 -266.957798524 -267.145682605 -267.174792289 -265.639001555 -265.646005778 -265.666586938 -265.736429318 -265.757254930 -265.761620667 -0.26637317249281E03 -0.26638985655880E03 -0.26656237388436E03 -0.26691086584242E03 -0.26642898491E03 -0.26644712806E03 -0.26663042924E03 -0.26642415352E03 -267.031486 0.067576 -267.141705176 -267.165995201
f5_C3H4O2_001 -266.960660056 -266.966467039 -267.159019013 -267.185436362 -265.651571365 -265.660921335 -265.682642213 -265.754964125 -265.776587420 -265.781010908 -0.26637893334896E03 -0.26639845807939E03 -0.26656980487275E03 -0.26692244108539E03 -0.26643511898E03 -0.26645568135E03 -0.26663765772E03 -0.26643237382E03 -267.046511 0.066458 -267.154809175 -267.175682602
f5_C3H4O2_002 -266.940282467 -266.946255235 -267.135411025 -267.163342240 -265.620082854 -265.630257038 -265.653150558 -265.726531767 -265.747999408 -265.752476573 -0.26635162243018E03 -0.26637195451359E03 -0.26654441418903E03 -0.26689824144520E03 -0.26640839997E03 -0.26642967681E03 -0.26661273091E03 -0.26640534890E03 -267.022800 0.065946 -267.131106273 -267.151995410
f5_C3H5ClO_000 -652.390937681 -652.398658163 -652.743356453 -652.743283982 -650.827377585 -650.834463400 -650.858793620 -650.936542355 -650.961954688 -650.966237128 -0.65151856980457E03 -0.65153511807050E03 -0.65172500610157E03 -0.65235207041858E03 -0.65158519807E03 -0.65160271696E03 -0.65180885283E03 -0.65158542079E03 -652.496893 0.075161 -652.737465797 -652.749142215
f5_C3H5ClO_001 -652.393527460 -652.401241063 -652.744716602 -652.744830507 -650.827458323 -650.833346115 -650.858574203 -650.935263355 -650.960543820 -650.965002068 -0.65152079636234E03 -0.65153559437399E03 -0.65172682510054E03 -0.65235341104270E03 -0.65158734341E03 -0.65160312616E03 -0.65181035810E03 -0.65158735814E03 -652.498433 0.074540 -652.738825203 -652.750677036
f5_C3H5NO_000 -247.092999884 -247.099813592 -247.280256066 -247.314448407 -245.818606143 -245.828480144 -245.848390079 -245.914161410 -245.933540243 -245.937516368 -0.24653093712300E03 -0.24655059019099E03 -0.24671361148529E03 -0.24705456854734E03 -0.24659216152E03 -0.24661247704E03 -0.24678594004E03 -0.24659005744E03 -247.169618 0.077419 -247.275329442 -247.304324889
f5_C3H5NO_001 -247.072555464 -247.079197562 -247.259413092 -247.298034462 -245.806428850 -245.813911868 -245.832704574 -245.895735772 -245.914798862 -245.918670759 -0.24652048272849E03 -0.24653763201636E03 -0.24669723228095E03 -0.24703430889095E03 -0.24658325244E03 -0.24660137393E03 -0.24677135707E03 -0.24658071990E03 -247.151740 0.076270 -247.254591330 -247.283930488
f5_C3H5NO_002 -247.054754054 -247.061800122 -247.239196053 -247.275528941 -245.768626971 -245.778102996 -245.803560712 -245.869387898 -245.889029934 -245.893129914 -0.24648571480228E03 -0.24650515043418E03 -0.24667294886881E03 -0.24701417549731E03 -0.24654816130E03 -0.24656825035E03 -0.24674577405E03 -0.24654792411E03 -247.131789 0.077627 -247.234107797 -247.262933829
f5_C3H5NO_003 -246.988929310 -246.995804702 -247.167908129 -247.211560529 -245.706061202 -245.713103196 -245.731936830 -245.792651552 -245.812656687 -245.816582822 -0.24642994857297E03 -0.24644574179684E03 -0.24660715481531E03 -0.24694180387855E03 -0.24649702354E03 -0.24651364078E03 -0.24668504145E03 -0.24649512081E03 -247.065993 0.074765 -247.162921046 -247.193300199
f5_C3H6N2_000 -227.204450538 -227.212564413 -227.379679651 -227.423092727 -225.960010984 -225.969963446 -225.992268295 -226.050591008 -226.068168590 -226.071779935 -0.22666127946158E03 -0.22668117276721E03 -0.22683904135345E03 -0.22716729750245E03 -0.22672780997E03 -0.22674801061E03 -0.22691538698E03 -0.22672830448E03 -227.273113 0.090659 -227.373786694 -227.411032601
f5_C3H6N2_001 -227.187641750 -227.195291790 -227.366429860 -227.416025881 -225.963799949 -225.969436332 -225.989560981 -226.042524215 -226.059725939 -226.063129125 -0.22666639032188E03 -0.22667917916599E03 -0.22683798409238E03 -0.22715852298026E03 -0.22673082936E03 -0.22674446563E03 -0.22691324267E03 -0.22672816629E03 -227.261581 0.089077 -227.360845082 -227.397683012
f5_C3H6N2_002 -227.183278226 -227.191272501 -227.358393308 -227.403400369 -225.940439823 -225.949678869 -225.971092773 -226.028564453 -226.045993857 -226.049540660 -0.22664195293225E03 -0.22666122055018E03 -0.22681777154341E03 -0.22714538644630E03 -0.22670839927E03 -0.22672806504E03 -0.22689413546E03 -0.22670915559E03 -227.252810 0.089193 -227.352563506 -227.389441054
