methods pbe pbe-d3 camb3lyp-d3 b3lyp/gtbas1 hf/gtbas1 hf/gtbas2 hf/gtbas3 hf/gtlargexp hf/gfhfb1 hf/gfhfb2 mp2/gtbas1 mp2/gtbas2 mp2/gtbas3 mp2/gtlargexp mp4/gtbas1 mp4/gtbas2 mp4/gtbas3 ccsd(t)/gtbas1 g4(0k) zpe camb3lyp wb97xd
f2_CH3F_000 -139.638980752 -139.640273509 -139.749038359 -139.744886409 -139.034016585 -139.043460776 -139.045695243 -139.092395845 -139.106215508 -139.109076708 -0.13933556676989E03 -0.13935255828123E03 -0.13943869346309E03 -0.13961746587832E03 -0.13936039149E03 -0.13937816511E03 -0.13947092457E03 -0.13935995788E03 -139.677426 0.038627 -139.748233799 -139.753789947
f2_CH3N_000 -94.5429342709 -94.5446754890 -94.6170533886 -94.6362214133 -94.0274959378 -94.0317272492 -94.0412999195 -94.0672293689 -94.0746321567 -94.0761836497 -0.94314895387080E02 -0.94322715251279E02 -0.94389605040423E02 -0.94525201822392E02 -0.94345088425E02 -0.94352940373E02 -0.94424398059E02 -0.94346140075E02 -94.572822 0.039271 -94.6159232672 -94.6303138842
f2_CH3O_000 -115.014001211 -115.015467826 -115.099350528 -115.081101389 -114.383171859 -114.407880568 -114.394427085 -114.450058136 -114.459637185 -114.461685280 -0.11470188510463E03 -0.11474107638546E03 -0.11479723790001E03 -0.11498296071305E03 -0.11472810416E03 -0.11476785740E03 -0.11483066208E03 -0.11472753110E03 -115.043176 0.033953 -115.098421509 -115.105529649
f2_CH4N_000 -94.8830977232 -94.8852995633 -94.9591717130 -94.9865161044 -94.3824042830 -94.3831001192 -94.3999103496 -94.4214691464 -94.4293463732 -94.4310371804 -0.94659478370116E02 -0.94661596112406E02 -0.94736571774862E02 -0.94865247159727E02 -0.94690812893E02 -0.94693124687E02 -0.94772700822E02 -0.94692681646E02 -94.901682 0.053419 -94.9577536889 -94.9779560490
f2_CH4O_000 -115.626688887 -115.628587092 -115.720277201 -115.730344454 -115.034539340 -115.039940507 -115.053542398 -115.088527231 -115.098691428 -115.100977422 -0.11534598773240E03 -0.11535745371360E03 -0.11544911687804E03 -0.11560452185226E03 -0.11537371817E03 -0.11538575792E03 -0.11548384831E03 -0.11537449135E03 -115.651772 0.050464 -115.719079772 -115.731604927
f2_CH4S_000 -438.495240053 -438.498244649 -438.715756077 -438.710615290 -437.699825088 -437.700812055 -437.717044797 -437.752890002 -437.763530163 -437.765930339 -0.43795257622472E03 -0.43795566896492E03 -0.43805316337413E03 -0.43846165850699E03 -0.43799156599E03 -0.43799501341E03 -0.43810180644E03 -0.43799324597E03 -438.529336 0.045255 -438.713597926 -438.715957963
f2_CH5N_000 -95.7633592362 -95.7660245546 -95.8451297883 -95.8661673372 -95.2090881017 -95.2133032605 -95.2267281357 -95.2525961792 -95.2603709460 -95.2621926010 -0.95506494921282E02 -0.95515516434224E02 -0.95601710070513E02 -0.95741510202768E02 -0.95539847888E02 -0.95549215584E02 -0.95641186009E02 -0.95541195203E02 -95.778307 0.063042 -95.8434351906 -95.8644286129
f2_CH6N_000 -96.1162317233 -96.1195867871 -96.1983486770 -96.2289308624 -95.5727117597 -95.5733594113 -95.5929977506 -95.6154341868 -95.6235929332 -95.6254868347 -0.95868167627562E02 -0.95870047478551E02 -0.95963279343672E02 -0.96095033734787E02 -0.95903020608E02 -0.95905282752E02 -0.96004345206E02 -0.95904670643E02 -96.119282 0.077993 -96.1962248655 -96.2235198963
f2_CH6S_000 -439.516256393 -439.520899783 -439.719054508 -439.717128995 -438.598027600 -438.610215819 -438.628918756 -438.679877974 -438.689222449 -438.693521290 -0.43889203130738E03 -0.43890862295982E03 -0.43901647572000E03 -0.43944738983328E03 -0.43894625219E03 -0.43896216651E03 -0.43907750606E03 -0.43895296281E03 -439.532271 0.052450 -439.715785630 -439.723348199
f2_CH7P_000 -383.375896579 -383.381310903 -383.587542298 -383.590740424 -382.543539425 -382.545728827 -382.571793763 -382.610644274 -382.618037605 -382.623013492 -0.38279477923435E03 -0.38279993207249E03 -0.38291782486843E03 -0.38332425594146E03 -0.38284088089E03 -0.38284638881E03 -0.38297390720E03 -0.38284410681E03 -383.383114 0.069963 -383.583654000 -383.596395309
f2_CH8S_000 -440.687706508 -440.694063693 -440.903205054 -440.900612227 -439.733386286 -439.734753525 -439.782139842 -439.830867531 -439.834279460 -439.844091389 -0.44003005717923E03 -0.44003378064048E03 -0.44019327861360E03 -0.44062346167649E03 -0.44008092537E03 -0.44008508200E03 -0.44025421505E03 -0.44008424296E03 -440.682718 0.083568 -440.898766225 -440.914741206
f2_H2N2_000 -110.559211782 -110.560396580 -110.636477727 -110.646609292 -109.992724898 -109.997816159 -110.006967396 -110.038482773 -110.047670028 -110.049390364 -0.11031441748075E03 -0.11032416049456E03 -0.11039039805620E03 -0.11053610520752E03 -0.11034249332E03 -0.11035236948E03 -0.11042290528E03 -0.11034297733E03 -110.594405 0.027834 -110.635721160 -110.643812891
f2_H2NO_000 -130.667533845 -130.668530850 -130.750861887 -130.762442791 -130.061906179 -130.064005398 -130.082989368 -130.118531260 -130.130841506 -130.133224075 -0.13039851768213E03 -0.13040329484382E03 -0.13048817578680E03 -0.13064143223246E03 -0.13042276487E03 -0.13042793499E03 -0.13051770761E03 -0.13042260043E03 -130.700205 0.027943 -130.750239553 -130.758290811
f2_H2O2_000 -151.456188598 -151.457008807 -151.560471888 -151.553093355 -150.760930782 -150.766968180 -150.782826031 -150.830800647 -150.846652277 -150.849674529 -0.15112873991925E03 -0.15114353842822E03 -0.15124123573036E03 -0.15142132390566E03 -0.15114922019E03 -0.15116495467E03 -0.15126937330E03 -0.15114969265E03 -151.493555 0.025554 -151.559960495 -151.557740558
f2_H2OS_000 -474.376600042 -474.378110079 -474.614043727 -474.584413853 -473.481267018 -473.487161081 -473.506226027 -473.560631154 -473.576264153 -473.579896395 -0.47378394483081E03 -0.47379628131567E03 -0.47389825846055E03 -0.47433728625141E03 -0.47381288299E03 -0.47382589992E03 -0.47393812949E03 -0.47381381204E03 -474.426281 0.021265 -474.612956595 -474.598611603
f2_H2OS_001 -474.361031195 -474.362672676 -474.591786008 -474.558589657 -473.435442105 -473.443241266 -473.472423344 -473.534258440 -473.546074218 -473.552465677 -0.47374675426150E03 -0.47376089657519E03 -0.47387218093387E03 -0.47431835567377E03 -0.47377640859E03 -0.47379084646E03 -0.47391150160E03 -0.47377545527E03 -474.405044 0.020368 -474.590616141 -474.578065301
f2_H2S2_000 -797.262498090 -797.265103408 -797.626231315 -797.582792085 -796.163819202 -796.165437394 -796.189962422 -796.245059688 -796.260183353 -796.263429365 -0.79640182219610E03 -0.79640544899866E03 -0.79652008153961E03 -0.79721278973488E03 -0.79644249705E03 -0.79644645035E03 -0.79657364097E03 -0.79644470576E03 -797.319570 0.017104 -797.624071924 -797.600760064
f2_H3NO_000 -131.628089344 -131.629462443 -131.724123442 -131.723202232 -130.976983235 -130.984141508 -130.998099205 -131.040226527 -131.052169055 -131.054701603 -0.13132437257661E03 -0.13133950077761E03 -0.13143030212726E03 -0.13159811124131E03 -0.13134936092E03 -0.13136514210E03 -0.13146213218E03 -0.13135005399E03 -131.655367 0.039642 -131.723269429 -131.729029457
f2_H3NO_001 -131.593665154 -131.595145715 -131.685372142 -131.677158263 -130.930554030 -130.944939832 -130.950866937 -130.999912365 -131.011366471 -131.013973731 -0.13127693302548E03 -0.13130128764608E03 -0.13138124045473E03 -0.13155839406644E03 -0.13130206313E03 -0.13132702605E03 -0.13141324305E03 -0.13130273994E03 -131.615822 0.039186 -131.684461700 -131.690933790
f2_H3OP_000 -418.179102907 -418.181435865 -418.407457320 -418.382322924 -417.305602157 -417.311021587 -417.337273838 -417.394661597 -417.405247439 -417.411500718 -0.41759508691283E03 -0.41760620970404E03 -0.41771146702817E03 -0.41814370227566E03 -0.41762207333E03 -0.41763372368E03 -0.41774836806E03 -0.41762111139E03 -418.216785 0.030376 -418.405788722 -418.395648825
f2_H3OS_000 -474.921538281 -474.923816938 -475.145984205 -475.091692091 -473.904290530 -473.924854740 -473.941001749 -474.022127421 -474.032484440 -474.040242898 -0.47423359937834E03 -0.47426885157201E03 -0.47437621097148E03 -0.47485752601946E03 -0.47426712562E03 -0.47430367631E03 -0.47442032110E03 -0.47426789177E03 -474.955112 0.024171 -475.144380397 -475.131624905
f2_H4N2_000 -111.774352877 -111.776414442 -111.859435205 -111.869822256 -111.163121258 -111.168898821 -111.183566373 -111.216775057 -111.226194417 -111.228273778 -0.11149553843601E03 -0.11150746500736E03 -0.11159473576504E03 -0.11174650377663E03 -0.11152582854E03 -0.11153807902E03 -0.11163088266E03 -0.11152706486E03 -111.792721 0.052124 -111.858147857 -111.872226681
f2_H4NO_000 -131.949431517 -131.951350879 -132.044271054 -132.054843692 -131.305136599 -131.308181221 -131.332937957 -131.370764098 -131.383174047 -131.385902380 -0.13164956211512E03 -0.13165603134562E03 -0.13176005696119E03 -0.13191900126364E03 -0.13167595809E03 -0.13168310665E03 -0.13179317484E03 -0.13167695331E03 -131.964490 0.053736 -132.043092072 -132.055905224
f2_H4OP_000 -418.757552306 -418.760603178 -418.984087961 -418.939355257 -417.804072655 -417.820715942 -417.835730110 -417.908640113 -417.918279140 -417.925496900 -0.41811053641311E03 -0.41813987038477E03 -0.41824588392019E03 -0.41870680675756E03 -0.41814061646E03 -0.41817128289E03 -0.41828787122E03 -0.41814091441E03 -418.788934 0.035682 -418.981932089 -418.972702824
f2_H4OS_000 -475.457645503 -475.460663378 -475.686080622 -475.650577324 -474.447796468 -474.455900232 -474.503105278 -474.572369740 -474.578931209 -474.589887472 -0.47478251514560E03 -0.47479858821443E03 -0.47494408186701E03 -0.47540323887012E03 -0.47481493021E03 -0.47483190459E03 -0.47498713860E03 -0.47481502195E03 -475.482418 0.040634 -475.683999780 -475.677973486
f2_H4OS_001 -475.519328700 -475.522109040 -475.752437329 -475.717599040 -474.535054255 -474.546198636 -474.574885090 -474.639102066 -474.651352668 -474.657560248 -0.47486344072345E03 -0.47488523158370E03 -0.47500898977246E03 -0.47546567796412E03 -0.47489664609E03 -0.47491910970E03 -0.47505307002E03 -0.47489807941E03 -475.547764 0.039647 -475.750492247 -475.741914843
f2_H5N2_000 -112.118399927 -112.121100505 -112.204100398 -112.223697900 -111.517048485 -111.519516352 -111.542695398 -111.572609335 -111.582469224 -111.584669251 -0.11184503274027E03 -0.11184999115224E03 -0.11194663491285E03 -0.11209089048942E03 -0.11187635708E03 -0.11188175239E03 -0.11198390063E03 -0.11187779674E03 -112.124373 0.066885 -112.202425854 -112.222895551
f2_H5OP_000 -419.331162587 -419.334794847 -419.563912530 -419.539562508 -418.405905700 -418.413499527 -418.443620359 -418.501364101 -418.512781628 -418.518902655 -0.41870544081919E03 -0.41872115689462E03 -0.41884540006159E03 -0.41928358161744E03 -0.41873821541E03 -0.41875463132E03 -0.41888928713E03 -0.41874029157E03 -419.355554 0.049296 -419.561356982 -419.556525623
f2_H6OS_000 -476.628844217 -476.633290227 -476.863749936 -476.832027181 -475.577867264 -475.585341396 -475.635848882 -475.704112193 -475.711324650 -475.722358985 -0.47592324724837E03 -0.47593908492404E03 -0.47610378654264E03 -0.47656675510902E03 -0.47596088480E03 -0.47597756829E03 -0.47615291255E03 -0.47596312844E03 -476.639671 0.062758 -476.860719619 -476.859669083
f2_HCl_000 -460.629062317 -460.629384529 -460.834800874 -460.803794149 -460.059778275 -460.060840507 -460.070424278 -460.101233640 -460.111057408 -460.112253549 -0.46019234916445E03 -0.46019441041312E03 -0.46025549619236E03 -0.46061804310156E03 -0.46021089414E03 -0.46021310044E03 -0.46028286077E03 -0.46021158351E03 -460.678700 0.006641 -460.834580539 -460.819465140
f2_HF_000 -100.387015752 -100.387129001 -100.460801724 -100.433188622 -100.002819834 -100.014827878 -100.015156739 -100.056498961 -100.067978076 -100.070348438 -0.10018194153372E03 -0.10020243579980E03 -0.10025369480758E03 -0.10037843447267E03 -0.10018817594E03 -0.10020907245E03 -0.10026435342E03 -0.10018805682E03 -100.422350 0.009242 -100.460735418 -100.457407115
f2_HO_000 -75.7472347522 -75.7473868155 -75.8035935492 -75.7297559757 -75.3264019394 -75.3758278570 -75.3354603659 -75.4075997273 -75.4156057819 -75.4171555413 -0.75513134009592E02 -0.75588364150745E02 -0.75574473708966E02 -0.75735055634173E02 -0.75521338275E02 -0.75596659809E02 -0.75587436030E02 -0.75521738402E02 -75.778357 0.007874 -75.8035020552 -75.7989920063
f2_HO_001 -75.7472347522 -75.7473868155 -75.8035935492 -75.7297559757 -75.3264019394 -75.3758278570 -75.3354603659 -75.4075997273 -75.4156057819 -75.4171555413 -0.75513134009592E02 -0.75588364150745E02 -0.75574473708966E02 -0.75735055634173E02 -0.75521338275E02 -0.75596659809E02 -0.75587436030E02 -0.75521738402E02 -75.778357 0.007874 -75.8035020552 -75.7989920063
f3_C2H10S_000 -479.959532004 -479.969171184 -480.209966318 -480.220143535 -478.769459512 -478.771281281 -478.822757011 -478.878608714 -478.885338645 -478.895671133 -0.47919934948968E03 -0.47920517357401E03 -0.47939962898445E03 -0.47988983408331E03 -0.47926571485E03 -0.47927221356E03 -0.47947813396E03 -0.47926928019E03 -479.963555 0.111969 -480.202999146 -480.232375476
f3_C2H3Cl_000 -537.935688342 -537.939331745 -538.200736540 -538.195612654 -536.933209633 -536.936519369 -536.947999217 -536.994336201 -537.010160781 -537.012552928 -0.53731635032886E03 -0.53732320325353E03 -0.53743278643952E03 -0.53791169287115E03 -0.53736248135E03 -0.53736949989E03 -0.53749075881E03 -0.53736387109E03 -538.010544 0.041999 -538.198006860 -538.200300050
f3_C2H3N_000 -132.629771235 -132.632580074 -132.733031963 -132.763436111 -131.926101814 -131.929808073 -131.940011171 -131.971740795 -131.981821627 -131.983723357 -0.13233696336264E03 -0.13234396057336E03 -0.13242933119804E03 -0.13261886605230E03 -0.13237450349E03 -0.13238176699E03 -0.13247274001E03 -0.13237236200E03 -132.683801 0.044621 -132.731070579 -132.750902345
f3_C2H4O_000 -153.684238997 -153.687501406 -153.803394133 -153.824615987 -152.888016969 -152.894772719 -152.910838172 -152.954147749 -152.967243719 -152.970005545 -0.15331979282717E03 -0.15333265574174E03 -0.15344434202987E03 -0.15365612433308E03 -0.15335920972E03 -0.15337247071E03 -0.15349121176E03 -0.15335980018E03 -153.727198 0.055839 -153.801176712 -153.819309522
f3_C2H4O_001 -153.699450855 -153.702662180 -153.818828521 -153.842966481 -152.914927788 -152.920138066 -152.932399927 -152.973530537 -152.986076805 -152.988665115 -0.15334628003184E03 -0.15335712894639E03 -0.15346425163621E03 -0.15367291420826E03 -0.15338629736E03 -0.15339775187E03 -0.15351221456E03 -0.15338485423E03 -153.743782 0.054546 -153.816660822 -153.835533248
f3_C2H4O_002 -153.660501037 -153.663473207 -153.776087204 -153.799848896 -152.865963260 -152.870466285 -152.883987524 -152.924610293 -152.937094912 -152.939795713 -0.15330340539903E03 -0.15331439381069E03 -0.15342345494942E03 -0.15363222102987E03 -0.15334124298E03 -0.15335299776E03 -0.15346934309E03 -0.15334076706E03 -153.700325 0.056441 -153.774113616 -153.794431138
f3_C2H4S_000 -476.542340091 -476.546969123 -476.788393645 -476.792249930 -475.541168531 -475.545112556 -475.561864782 -475.607611940 -475.621016664 -475.623994884 -0.47591548568320E03 -0.47592295525813E03 -0.47603674743493E03 -0.47650436687892E03 -0.47596615365E03 -0.47597373603E03 -0.47609739453E03 -0.47596813446E03 -476.596302 0.050437 -476.784886771 -476.792788539
f3_C2H5Cl_000 -539.163003434 -539.167825853 -539.437100806 -539.436298843 -538.131021963 -538.132400482 -538.147139598 -538.191552716 -538.207778380 -538.210206009 -0.53852374581053E03 -0.53852865279883E03 -0.53865673869254E03 -0.53913691988025E03 -0.53857369014E03 -0.53857917367E03 -0.53872035110E03 -0.53857502399E03 -539.225714 0.065444 -539.433611881 -539.442961645
f3_C2H5N_000 -133.805417707 -133.809442077 -133.913924094 -133.948601328 -133.056844618 -133.061120454 -133.073620415 -133.106293421 -133.116614516 -133.118771298 -0.13347473765006E03 -0.13348396120260E03 -0.13358482748297E03 -0.13377952117909E03 -0.13352063705E03 -0.13353016867E03 -0.13363779623E03 -0.13352192681E03 -133.843124 0.066490 -133.911179414 -133.937096395
f3_C2H5N_001 -133.820131543 -133.824220609 -133.928190525 -133.957049606 -133.058566594 -133.066234310 -133.080266220 -133.117124293 -133.127948998 -133.130279811 -0.13347512821902E03 -0.13348843343470E03 -0.13359216506220E03 -0.13379233619055E03 -0.13351895916E03 -0.13353228723E03 -0.13364275373E03 -0.13352030705E03 -133.853585 0.066957 -133.925385038 -133.951334235
f3_C2H5N_002 -133.822770262 -133.826901346 -133.930859749 -133.964150425 -133.071728662 -133.076049216 -133.090469864 -133.123565589 -133.134135002 -133.136344303 -0.13348971247745E03 -0.13349885042982E03 -0.13360169425147E03 -0.13379671507399E03 -0.13353542253E03 -0.13354481051E03 -0.13365427783E03 -0.13353642954E03 -133.858981 0.067415 -133.928047675 -133.954660648
f3_C2H6N_000 -134.181480530 -134.186108997 -134.290545582 -134.332322917 -133.441791460 -133.442757763 -133.465162793 -133.494226274 -133.505349157 -133.507704656 -0.13384886457979E03 -0.13385222237059E03 -0.13396399444809E03 -0.13415223407950E03 -0.13389573473E03 -0.13389947125E03 -0.13401786078E03 -0.13389755234E03 -134.203923 0.080949 -134.287398921 -134.319724657
f3_C2H6O_000 -154.900511784 -154.904843189 -155.028938910 -155.052907961 -154.074590060 -154.080058474 -154.098238985 -154.140404998 -154.153617845 -154.156545283 -0.15451693374080E03 -0.15452952062688E03 -0.15465682879395E03 -0.15487147034687E03 -0.15456059577E03 -0.15457400734E03 -0.15470971379E03 -0.15456161613E03 -154.933861 0.078663 -155.026056879 -155.050908867
